,year,key,deaths,survivors
0,1970,Afghanistan,0,0.0
1,1970,Algeria,0,0.0
2,1970,Angola,0,0.0
3,1970,Antigua and Barbuda,0,0.0
4,1970,Argentina,0,0.0
5,1970,Armenia,0,0.0
6,1970,Australia,0,0.0
7,1970,Austria,0,0.0
8,1970,Azerbaijan,0,0.0
9,1970,Bahamas,0,0.0
10,1970,Bahrain,0,0.0
11,1970,Bangladesh,0,0.0
12,1970,Belarus,0,0.0
13,1970,Belgium,0,0.0
14,1970,Belize,0,0.0
15,1970,Botswana,0,0.0
16,1970,Brazil,0,0.0
17,1970,Bulgaria,0,0.0
18,1970,Cambodia,0,0.0
19,1970,Cameroon,0,0.0
20,1970,Canada,0,0.0
21,1970,Chile,0,0.0
22,1970,China,0,0.0
23,1970,Colombia,0,42.0
24,1970,Congo,0,0.0
25,1970,Costa Rica,0,0.0
26,1970,Croatia,0,0.0
27,1970,Cuba,0,0.0
28,1970,Denmark,0,0.0
29,1970,Dominican Republic,0,0.0
30,1970,Ecuador,0,0.0
31,1970,Egypt,0,0.0
32,1970,Equatorial Guinea,0,0.0
33,1970,Ethiopia,0,0.0
34,1970,Fiji,0,0.0
35,1970,France,30,0.0
36,1970,Gabon,0,0.0
37,1970,Georgia,0,0.0
38,1970,Germany,0,2.0
39,1970,Ghana,0,0.0
40,1970,Greece,0,0.0
41,1970,Guatemala,0,0.0
42,1970,Guinea,0,0.0
43,1970,Guyana,0,0.0
44,1970,Haiti,0,0.0
45,1970,Honduras,0,0.0
46,1970,Hungary,0,0.0
47,1970,Iceland,0,0.0
48,1970,India,39,0.0
49,1970,Indonesia,0,0.0
50,1970,Ireland,0,0.0
51,1970,Israel,1,147.0
52,1970,Italy,0,2.0
53,1970,Japan,0,0.0
54,1970,Jordan,0,0.0
55,1970,Kazakhstan,0,0.0
56,1970,Kenya,0,0.0
57,1970,Kyrgyzstan,0,0.0
58,1970,Latvia,0,0.0
59,1970,Lebanon,0,0.0
60,1970,Lesotho,0,0.0
61,1970,Libya,0,0.0
62,1970,Lithuania,0,0.0
63,1970,Luxembourg,0,0.0
64,1970,Malawi,0,0.0
65,1970,Malaysia,0,0.0
66,1970,Maldives,0,0.0
67,1970,Mexico,0,79.0
68,1970,Mongolia,0,0.0
69,1970,Morocco,0,0.0
70,1970,Mozambique,0,0.0
71,1970,Myanmar,0,0.0
72,1970,Nepal,0,0.0
73,1970,Netherlands,0,0.0
74,1970,New Zealand,0,0.0
75,1970,Nicaragua,0,0.0
76,1970,Nigeria,0,0.0
77,1970,Norway,0,0.0
78,1970,Pakistan,0,0.0
79,1970,Panama,0,0.0
80,1970,Papua New Guinea,0,0.0
81,1970,Paraguay,0,0.0
82,1970,Peru,0,0.0
83,1970,Philippines,1,43.0
84,1970,Poland,0,0.0
85,1970,Portugal,0,0.0
86,1970,Romania,0,0.0
87,1970,Saudi Arabia,0,0.0
88,1970,Senegal,0,0.0
89,1970,Sierra Leone,0,0.0
90,1970,Singapore,0,0.0
91,1970,Slovakia,0,0.0
92,1970,Slovenia,0,0.0
93,1970,Somalia,0,0.0
94,1970,South Africa,0,0.0
95,1970,Spain,0,0.0
96,1970,Sri Lanka,0,0.0
97,1970,Sudan,0,0.0
98,1970,Sweden,0,0.0
99,1970,Switzerland,0,0.0
100,1970,Tajikistan,21,0.0
101,1970,Thailand,0,0.0
102,1970,Togo,0,0.0
103,1970,Tunisia,0,0.0
104,1970,Turkey,0,0.0
105,1970,Turkmenistan,0,0.0
106,1970,Uganda,0,0.0
107,1970,Ukraine,1,113.0
108,1970,United Arab Emirates,0,0.0
109,1970,United States of America,141,764.0
110,1970,Uruguay,0,0.0
111,1970,Uzbekistan,0,0.0
112,1970,Vanuatu,0,0.0
5635,1970,Worldwide,234,1192.0
113,1970,Yemen,0,0.0
114,1970,Zimbabwe,0,0.0
115,1971,Afghanistan,0,0.0
116,1971,Algeria,0,0.0
117,1971,Angola,0,0.0
118,1971,Antigua and Barbuda,0,0.0
119,1971,Argentina,0,0.0
120,1971,Armenia,0,0.0
121,1971,Australia,0,0.0
122,1971,Austria,0,0.0
123,1971,Azerbaijan,0,0.0
